source_file,tweet_id,tweet_url,analytics_url,author_profile_url,author_name,author_handle,tweet_date_raw,tweet_date,replying_to_raw,tweet_text,tweet_text_display,tweet_text_model,mentions,hashtags,emojis,contains_simci,likes,reposts,comments,views,engagement_signal_count,engagement_confidence,engagement_raw_positions,engagement_raw_values
x-2026-02-09.csv,2020170357320077448,https://x.com/mabagoz1/status/2020170357320077448,https://x.com/mabagoz1/status/2020170357320077448/analytics,https://x.com/mabagoz1,Mauricio,@mabagoz1,Feb 7,2026-02-07,Replying to @willj84753699 and @petrogustavo,@willj84753699 @petrogustavo Con SIMCI los oligarcas colombianos estafaron en decenas de miles de millones a la USA,@willj84753699 @petrogustavo Con SIMCI los oligarcas colombianos estafaron en decenas de miles de millones a la USA,Con SIMCI los oligarcas colombianos estafaron en decenas de miles de millones a la USA,@petrogustavo|@willj84753699,,,True,1,0,0,16,1,low,col_19,1
x-2026-02-09.csv,2019523995515642006,https://x.com/elimprudenteCO/status/2019523995515642006,https://x.com/elimprudenteCO/status/2019523995515642006/analytics,https://x.com/elimprudenteCO,El Imprudente,@elimprudenteCO,Feb 5,2026-02-05,Replying to @EspinosaRadio @petrogustavo and @PoliciaColombia,@EspinosaRadio @petrogustavo @PoliciaColombia Sin todavía la información de SIMCI -UNODC? Pues para confirmar ese “milagro” de San Petro. Volveremos al “diferencia de metodología”?,@EspinosaRadio @petrogustavo @PoliciaColombia Sin todavía la información de SIMCI -UNODC? Pues para confirmar ese “milagro” de San Petro. Volveremos al “diferencia de metodología”?,Sin todavía la información de SIMCI -UNODC? Pues para confirmar ese “milagro” de San Petro. Volveremos al “diferencia de metodología”?,@EspinosaRadio|@PoliciaColombia|@petrogustavo,,,True,2,0,0,292,1,low,col_19,2
x-2026-02-09.csv,2019509551913951471,https://x.com/DanielMejiaL/status/2019509551913951471,https://x.com/DanielMejiaL/status/2019509551913951471/analytics,https://x.com/DanielMejiaL,Daniel Mejia,@DanielMejiaL,Feb 5,2026-02-05,,"@petrogustavo: 1. Con el fin de evaluar y contrastar las críticas y cuestionamientos que están haciendo desde el gobierno a las cifras de cultivos de coca y producción potencial de cocaína que produce -UNODC, les solicito que hagan @MinjusticiaCo @mindefensa Presidente Simci Revista RAYA @revistaRAYA 🚨 RAYA tuvo acceso a un documento confidencial del gobierno de que desmiente las cifras sobre producción potencial de cocaína calculadas por la ONU. El documento circula en Washington. El asunto será clave en la reunión Petro-Trump.","@petrogustavo: 1. Con el fin de evaluar y contrastar las críticas y cuestionamientos que están haciendo desde el gobierno a las cifras de cultivos de coca y producción potencial de cocaína que produce -UNODC, les solicito que hagan @MinjusticiaCo @mindefensa Presidente Simci Revista RAYA @revistaRAYA 🚨 RAYA tuvo acceso a un documento confidencial del gobierno de que desmiente las cifras sobre producción potencial de cocaína calculadas por la ONU. El documento circula en Washington. El asunto será clave en la reunión Petro-Trump.",": 1. Con el fin de evaluar y contrastar las críticas y cuestionamientos que están haciendo desde el gobierno a las cifras de cultivos de coca y producción potencial de cocaína que produce -UNODC, les solicito que hagan Presidente Simci Revista RAYA RAYA tuvo acceso a un documento confidencial del gobierno de que desmiente las cifras sobre producción potencial de cocaína calculadas por la ONU. El documento circula en Washington. El asunto será clave en la reunión Petro-Trump.",@MinjusticiaCo|@mindefensa|@petrogustavo|@revistaRAYA,,🚨,True,75,40,2,4200,3,high,"col_19,col_32,col_33","2,40,75"
x-2026-02-09.csv,2019442124261863775,https://x.com/grok/status/2019442124261863775,https://x.com/grok/status/2019442124261863775/analytics,https://x.com/grok,Grok,@grok,Feb 5,2026-02-05,Replying to @JuanGui30871036 @petrogustavo and @TheEconomist,"@JuanGui30871036 @petrogustavo @TheEconomist Entiendo tu crítica sobre las metodologías. UNODC's SIMCI es un censo integral con satélites y encuestas (World Drug Report 2025 reporta récord global). Reportes de Policía Nacional son métricas operativas, enfocadas en erradicación, mostrando -56.9% en cultivos nuevos (informe","@JuanGui30871036 @petrogustavo @TheEconomist Entiendo tu crítica sobre las metodologías. UNODC's SIMCI es un censo integral con satélites y encuestas (World Drug Report 2025 reporta récord global). Reportes de Policía Nacional son métricas operativas, enfocadas en erradicación, mostrando -56.9% en cultivos nuevos (informe","Entiendo tu crítica sobre las metodologías. UNODC's SIMCI es un censo integral con satélites y encuestas (World Drug Report 2025 reporta récord global). Reportes de Policía Nacional son métricas operativas, enfocadas en erradicación, mostrando -56.9% en cultivos nuevos (informe",@JuanGui30871036|@TheEconomist|@petrogustavo,,,True,1,0,0,26,1,low,col_19,1
x-2026-02-09.csv,2019441799090053480,https://x.com/JuanGui30871036/status/2019441799090053480,https://x.com/JuanGui30871036/status/2019441799090053480/analytics,https://x.com/JuanGui30871036,Juan Guillermo Burgos Ramírez,@JuanGui30871036,Feb 5,2026-02-05,Replying to @grok @petrogustavo and @TheEconomist,"@grok @petrogustavo @TheEconomist Equiparar censo SIMCI ONU con reportes operativos de Policía es falta de rigor técnico. Los datos de parte no son censo, sino métricas de gestión. La verdad técnica no se promedia con PROPAGANDA. Cuando se trata de Petrosky, ingresas en un bucle de neutralidad defensiva.","@grok @petrogustavo @TheEconomist Equiparar censo SIMCI ONU con reportes operativos de Policía es falta de rigor técnico. Los datos de parte no son censo, sino métricas de gestión. La verdad técnica no se promedia con PROPAGANDA. Cuando se trata de Petrosky, ingresas en un bucle de neutralidad defensiva.","Equiparar censo SIMCI ONU con reportes operativos de Policía es falta de rigor técnico. Los datos de parte no son censo, sino métricas de gestión. La verdad técnica no se promedia con PROPAGANDA. Cuando se trata de Petrosky, ingresas en un bucle de neutralidad defensiva.",@TheEconomist|@grok|@petrogustavo,,,True,1,0,0,34,1,low,col_19,1
x-2026-02-09.csv,2019438641383112932,https://x.com/JuanGui30871036/status/2019438641383112932,https://x.com/JuanGui30871036/status/2019438641383112932/analytics,https://x.com/JuanGui30871036,Juan Guillermo Burgos Ramírez,@JuanGui30871036,Feb 5,2026-02-05,Replying to @grok @petrogustavo and @TheEconomist,"@grok @petrogustavo @TheEconomist No hay un debate técnico real; no existe otro organismo internacional con metodología superior que contradiga la ONU. Crítica reactiva; Petrosky cuestiona termómetro SIMCI cuando la fiebre (producción) sube, pero usa esos mismos datos cuando le favorecen. Resta objetividad.","@grok @petrogustavo @TheEconomist No hay un debate técnico real; no existe otro organismo internacional con metodología superior que contradiga la ONU. Crítica reactiva; Petrosky cuestiona termómetro SIMCI cuando la fiebre (producción) sube, pero usa esos mismos datos cuando le favorecen. Resta objetividad.","No hay un debate técnico real; no existe otro organismo internacional con metodología superior que contradiga la ONU. Crítica reactiva; Petrosky cuestiona termómetro SIMCI cuando la fiebre (producción) sube, pero usa esos mismos datos cuando le favorecen. Resta objetividad.",@TheEconomist|@grok|@petrogustavo,,,True,1,0,0,71,1,low,col_19,1
x-2026-02-09.csv,2018933702235930705,https://x.com/K92Luis/status/2018933702235930705,https://x.com/K92Luis/status/2018933702235930705/analytics,https://x.com/K92Luis,LuisK92,@K92Luis,Feb 4,2026-02-04,Replying to @AlvaroUribeVel,"@AlvaroUribeVel Expresidente, los datos de la ONU ( ) muestran que el aumento de cultivos es un fenómeno multicausal y no la decisión de un solo senador. Si tiene pruebas de que 28 mil hombres armados proclamaron una candidatura, el lugar para presentarlas es la Fiscalía, no las redes. SIMCI 🇨🇴 🇵🇸","@AlvaroUribeVel Expresidente, los datos de la ONU ( ) muestran que el aumento de cultivos es un fenómeno multicausal y no la decisión de un solo senador. Si tiene pruebas de que 28 mil hombres armados proclamaron una candidatura, el lugar para presentarlas es la Fiscalía, no las redes. SIMCI 🇨🇴 🇵🇸","Expresidente, los datos de la ONU ( ) muestran que el aumento de cultivos es un fenómeno multicausal y no la decisión de un solo senador. Si tiene pruebas de que 28 mil hombres armados proclamaron una candidatura, el lugar para presentarlas es la Fiscalía, no las redes. SIMCI",@AlvaroUribeVel,,🇨🇴🇵🇸,True,0,0,0,22,0,none,,
x-2026-02-09.csv,2018831448594108560,https://x.com/Temasdepaz/status/2018831448594108560,https://x.com/Temasdepaz/status/2018831448594108560/analytics,https://x.com/Temasdepaz,Construcción de Paz,@Temasdepaz,Feb 3,2026-02-03,,El gobierno va a asignar a la Fundación San José para hacer el monitoreo de cultivos ilícitos que antes hacía el SIMCI,El gobierno va a asignar a la Fundación San José para hacer el monitoreo de cultivos ilícitos que antes hacía el SIMCI,El gobierno va a asignar a la Fundación San José para hacer el monitoreo de cultivos ilícitos que antes hacía el SIMCI,,,,True,0,0,0,21,0,none,,
x-2026-02-08.csv,2018725683162132891,https://x.com/DanielMejiaL/status/2018725683162132891,https://x.com/DanielMejiaL/status/2018725683162132891/analytics,https://x.com/DanielMejiaL,Daniel Mejia,@DanielMejiaL,Feb 3,2026-02-03,Replying to @EspinosaRadio @realDonaldTrump and 3 others,"@EspinosaRadio Las críticas y cuestionamientos que ha hecho el gobierno de @realDonaldTrump @petrogustavo a las cifras de SIMCI -UNODC, no son ciertas. El gobierno de se ha dedicado a propagar mentiras para criticar las cifras y la metodología de medición de SIMCI -UNODC. Le doy dos ejemplos.","@EspinosaRadio Las críticas y cuestionamientos que ha hecho el gobierno de @realDonaldTrump @petrogustavo a las cifras de SIMCI -UNODC, no son ciertas. El gobierno de se ha dedicado a propagar mentiras para criticar las cifras y la metodología de medición de SIMCI -UNODC. Le doy dos ejemplos.","Las críticas y cuestionamientos que ha hecho el gobierno de a las cifras de SIMCI -UNODC, no son ciertas. El gobierno de se ha dedicado a propagar mentiras para criticar las cifras y la metodología de medición de SIMCI -UNODC. Le doy dos ejemplos.",@EspinosaRadio|@petrogustavo|@realDonaldTrump,,,True,89,46,12,6400,3,high,"col_18,col_31,col_32","12,46,89"
x-2026-02-09.csv,2018711486802133078,https://x.com/Wops29/status/2018711486802133078,https://x.com/Wops29/status/2018711486802133078/analytics,https://x.com/Wops29,Paso de vencedores.,@Wops29,Feb 3,2026-02-03,Replying to @petrogustavo,"@petrogustavo Vendiendo mentiras los datos dicen lo contrario el aumento es desmedido, incremento y números históricos. El mitómano llegando a la Casa Blanca y exponiendo datos falsos. SIMCI","@petrogustavo Vendiendo mentiras los datos dicen lo contrario el aumento es desmedido, incremento y números históricos. El mitómano llegando a la Casa Blanca y exponiendo datos falsos. SIMCI","Vendiendo mentiras los datos dicen lo contrario el aumento es desmedido, incremento y números históricos. El mitómano llegando a la Casa Blanca y exponiendo datos falsos. SIMCI",@petrogustavo,,,True,3,3,0,225,2,medium,"col_19,col_32","3,3"
